realizationreport_id,date_from,date_to,create_dt,currency_name,suppliercontract_code,rrd_id,gi_id,dlv_prc,fix_tariff_date_from,fix_tariff_date_to,subject_name,nm_id,brand_name,sa_name,ts_name,barcode,doc_type_name,quantity,retail_price,retail_amount,sale_percent,commission_percent,office_name,supplier_oper_name,order_dt,sale_dt,rr_dt,shk_id,retail_price_withdisc_rub,delivery_amount,return_amount,delivery_rub,gi_box_type_name,product_discount_for_report,supplier_promo,rid,ppvz_spp_prc,ppvz_kvw_prc_base,ppvz_kvw_prc,sup_rating_prc_up,is_kgvp_v2,ppvz_sales_commission,ppvz_for_pay,ppvz_reward,acquiring_fee,acquiring_percent,payment_processing,acquiring_bank,ppvz_vw,ppvz_vw_nds,ppvz_office_name,ppvz_office_id,ppvz_supplier_id,ppvz_supplier_name,ppvz_inn,declaration_number,bonus_type_name,sticker_id,site_country,srv_dbs,penalty,additional_payment,rebill_logistic_cost,storage_fee,deduction,acceptance,assembly_id,srid,report_type,is_legal_entity,trbx_id,rebill_logistic_org
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435246,25718860,1.65,2024-12-28T21:00:00Z,2025-02-26T21:00:00Z,Табуреты,246912301,IKEA,ts_1,0,2040767094964,,0,0.0,0.0,0,0.0,Электросталь,Логистика,2025-02-24T14:06:21Z,2025-03-10T09:03:53Z,2025-03-10,28733000301,0.0,1,0,288.18,Монопалета,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,Приморский край Владивосток улица Глинки 8А,50017746,0,,,,К клиенту при продаже,0,Россия,False,0,0,0.0,0.0,0,0,0,8168303184025937647.0.0,1,False,0,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435247,25718860,0.0,,,Табуреты,246912301,IKEA,ts_1,0,2040767094964,Продажа,1,2141.0,1699.0,0,16.5,Электросталь,Продажа,2025-02-24T14:06:21Z,2025-03-10T09:03:53Z,2025-03-10,28733000301,2141.0,0,0,0.0,Монопалета,0,0,0,0.172,0.1375,-0.0345,0,0,-73.95,1758.86,0.0,28.88,1.35,Перевыставление эквайринга,Вайлдберриз Банк,-73.95,-14.79,Приморский край Владивосток улица Глинки 8А,50017746,0,,,,,0,Россия,False,0,0,0.0,0.0,0,0,0,8168303184025937647.0.0,1,False,,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435248,25718860,1.45,2024-12-28T21:00:00Z,2025-02-26T21:00:00Z,Табуреты,246912301,IKEA,ts_1,0,2040767094964,,0,0.0,0.0,0,0.0,Электросталь,Логистика,2025-03-07T07:33:52Z,2025-03-10T09:20:52Z,2025-03-10,28733001374,0.0,1,0,278.65,Монопалета,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,Тюменская область Тюмень Первомайская улица 44,212933,0,,,,К клиенту при продаже,0,Россия,False,0,0,0.0,0.0,0,0,0,30027096605644015.0.0,1,False,0,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435249,25718860,0.0,,,Табуреты,246912301,IKEA,ts_1,0,2040767094964,Продажа,1,1998.0,1507.0,0,16.5,Электросталь,Продажа,2025-03-07T07:33:52Z,2025-03-10T09:20:52Z,2025-03-10,28733001374,1998.0,0,0,0.0,Монопалета,0,0,0,0.2048,0.1375,-0.0673,0,0,-134.44,1642.7,0.0,25.63,1.28,Перевыставление эквайринга,Вайлдберриз Банк,-134.44166666666666,-26.89,Тюменская область Тюмень Первомайская улица 44,212933,0,,,,,0,Россия,False,0,0,0.0,0.0,0,0,0,30027096605644015.0.0,1,False,,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435250,25718860,1.45,2024-12-28T21:00:00Z,2025-02-26T21:00:00Z,Табуреты,246912301,IKEA,ts_1,0,2040767094964,,0,0.0,0.0,0,0.0,Электросталь,Логистика,2025-03-08T07:45:37Z,2025-03-10T09:23:48Z,2025-03-10,28733001398,0.0,1,0,278.65,Монопалета,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,Московская область Люберцы Октябрьский проспект 8к1,215750,0,,,,К клиенту при продаже,0,Россия,False,0,0,0.0,0.0,0,0,0,15959587105687568.0.0,1,False,0,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435251,25718860,0.0,,,Табуреты,246912301,IKEA,ts_1,0,2040767094964,Продажа,1,2220.0,1709.0,0,16.5,Электросталь,Продажа,2025-03-08T07:45:37Z,2025-03-10T09:23:48Z,2025-03-10,28733001398,2220.0,0,0,0.0,Монопалета,0,0,0,0.1918,0.1375,-0.0543,0,0,-120.58,1830.45,0.0,23.25,1.05,Перевыставление эквайринга,Промсвязьбанк,-120.58333333333333,-24.12,Московская область Люберцы Октябрьский проспект 8к1,215750,0,,,,,0,Россия,False,0,0,0.0,0.0,0,0,0,15959587105687568.0.0,1,False,,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435252,25718860,1.45,2024-12-28T21:00:00Z,2025-02-26T21:00:00Z,Табуреты,246912301,IKEA,ts_1,0,2040767094964,,0,0.0,0.0,0,0.0,Электросталь,Логистика,2025-03-04T14:48:12Z,2025-03-10T09:24:22Z,2025-03-10,28733001048,0.0,1,0,278.65,Монопалета,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,Тверская область Ржев улица Никиты Головни 1,3062,0,,,,К клиенту при продаже,0,Россия,False,0,0,0.0,0.0,0,0,0,7692926105501873812.0.0,1,False,0,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435253,25718860,0.0,,,Табуреты,246912301,IKEA,ts_1,0,2040767094964,Продажа,1,2141.0,1669.0,0,16.5,Электросталь,Продажа,2025-03-04T14:48:12Z,2025-03-10T09:24:22Z,2025-03-10,28733001048,2141.0,0,0,0.0,Монопалета,0,0,0,0.1837,0.1375,-0.0462,0,0,-98.95,1781.06,0.0,6.68,0.31,Перевыставление эквайринга,Вайлдберриз Банк,-98.95,-19.79,Тверская область Ржев улица Никиты Головни 1,3062,0,,,,,0,Россия,False,0,0,0.0,0.0,0,0,0,7692926105501873812.0.0,1,False,,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435254,25718860,1.45,2024-12-28T21:00:00Z,2025-02-26T21:00:00Z,Табуреты,246912301,IKEA,ts_1,0,2040767094964,,0,0.0,0.0,0,0.0,Электросталь,Логистика,2025-03-07T03:20:22Z,2025-03-10T09:33:56Z,2025-03-10,28733001366,0.0,1,0,278.65,Монопалета,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,Удмуртская Республика Глазов улица Молодой Гвардии 16,50006657,0,,,,К клиенту при продаже,0,Россия,False,0,0,0.0,0.0,0,0,0,13241150605636411.0.0,1,False,0,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435255,25718860,0.0,,,Табуреты,246912301,IKEA,ts_1,0,2040767094964,Продажа,1,1998.0,1558.0,0,16.5,Электросталь,Продажа,2025-03-07T03:20:22Z,2025-03-10T09:33:56Z,2025-03-10,28733001366,1998.0,0,0,0.0,Монопалета,0,0,0,0.1835,0.1375,-0.046,0,0,-66.97,1638.36,0.0,29.97,1.5,Комиссия за организацию платежа с НДС,СберБанк,-66.96666666666667,-13.39,Удмуртская Республика Глазов улица Молодой Гвардии 16,50006657,0,,,,,0,Россия,False,0,0,0.0,0.0,0,0,0,13241150605636411.0.0,1,False,,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435256,25718860,1.45,2024-12-28T21:00:00Z,2025-02-26T21:00:00Z,Табуреты,246912301,IKEA,ts_1,0,2040767094964,,0,0.0,0.0,0,0.0,Электросталь,Логистика,2025-03-08T05:40:34Z,2025-03-10T10:25:53Z,2025-03-10,28733001393,0.0,1,0,278.65,Монопалета,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,Москва Москва улица Лазо 4к1,149015,0,,,,К клиенту при продаже,0,Россия,False,0,0,0.0,0.0,0,0,0,14313358605683816.1.0,1,False,0,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435257,25718860,0.0,,,Табуреты,246912301,IKEA,ts_1,0,2040767094964,Продажа,1,2220.0,1731.0,0,16.5,Электросталь,Продажа,2025-03-08T05:40:34Z,2025-03-10T10:25:53Z,2025-03-10,28733001393,2220.0,0,0,0.0,Монопалета,0,0,0,0.1836,0.1375,-0.0461,0,0,-74.5,1820.4,0.0,33.3,1.5,Комиссия за организацию платежа с НДС,СберБанк,-74.5,-14.9,Москва Москва улица Лазо 4к1,149015,0,,,,,0,Россия,False,0,0,0.0,0.0,0,0,0,14313358605683816.1.0,1,False,,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435258,25718860,2.0,2024-12-28T21:00:00Z,2025-02-26T21:00:00Z,Табуреты,246912301,IKEA,ts_1,0,2040767094964,,0,0.0,0.0,0,0.0,Коледино,Логистика,2025-03-09T05:27:04Z,2025-03-10T10:29:24Z,2025-03-10,28733000255,0.0,1,0,384.35,Монопалета,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,Калужская область посёлок городского типа Полотняный Завод Московская улица 17,315450,0,,,,К клиенту при продаже,0,Россия,False,0,0,0.0,0.0,0,0,0,24999902605726611.0.0,1,False,0,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435259,25718860,0.0,,,Табуреты,246912301,IKEA,ts_1,0,2040767094964,Продажа,1,2220.0,1731.0,0,16.5,Коледино,Продажа,2025-03-09T05:27:04Z,2025-03-10T10:29:24Z,2025-03-10,28733000255,2220.0,0,0,0.0,Монопалета,0,0,0,0.1836,0.1375,-0.0461,0,0,-74.5,1820.4,0.0,33.3,1.5,Комиссия за организацию платежа с НДС,СберБанк,-74.5,-14.9,Калужская область посёлок городского типа Полотняный Завод Московская улица 17,315450,0,,,,,0,Россия,False,0,0,0.0,0.0,0,0,0,24999902605726611.0.0,1,False,,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435260,25718860,1.45,2024-12-28T21:00:00Z,2025-02-26T21:00:00Z,Табуреты,246912301,IKEA,ts_1,0,2040767094964,,0,0.0,0.0,0,0.0,Электросталь,Логистика,2025-03-04T11:58:11Z,2025-03-10T11:02:54Z,2025-03-10,28733001036,0.0,1,0,278.65,Монопалета,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,Москва Москва Ореховый бульвар 61к2А,301113,0,,,,К клиенту при продаже,0,Россия,False,0,0,0.0,0.0,0,0,0,4868273027299163014.0.0,1,False,0,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435261,25718860,0.0,,,Табуреты,246912301,IKEA,ts_1,0,2040767094964,Продажа,1,2141.0,1669.0,0,16.5,Электросталь,Продажа,2025-03-04T11:58:11Z,2025-03-10T11:02:54Z,2025-03-10,28733001036,2141.0,0,0,0.0,Монопалета,0,0,0,0.1837,0.1375,-0.0462,0,0,-72.19,1755.63,0.0,32.11,1.5,Комиссия за организацию платежа с НДС,СберБанк,-72.19166666666666,-14.44,Москва Москва Ореховый бульвар 61к2А,301113,0,,,,,0,Россия,False,0,0,0.0,0.0,0,0,0,4868273027299163014.0.0,1,False,,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435262,25718860,2.5,2024-12-28T21:00:00Z,2025-02-26T21:00:00Z,Табуреты,246912301,IKEA,ts_1,0,2040767094964,,0,0.0,0.0,0,0.0,Казань,Логистика,2025-03-06T23:30:52Z,2025-03-10T13:01:51Z,2025-03-10,28733000379,0.0,1,0,480.44,Монопалета,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,Новосибирская область Новосибирск улица Бориса Богаткова 253/4,307468,0,,,,К клиенту при продаже,0,Россия,False,0,0,0.0,0.0,0,0,0,7144831560130637023.0.0,1,False,0,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435263,25718860,0.0,,,Табуреты,246912301,IKEA,ts_1,0,2040767094964,Продажа,1,2220.0,1696.0,0,16.5,Казань,Продажа,2025-03-06T23:30:52Z,2025-03-10T13:01:51Z,2025-03-10,28733000379,2220.0,0,0,0.0,Монопалета,0,0,0,0.1967,0.1375,-0.0592,0,0,-131.42,1824.86,0.0,28.84,1.3,Перевыставление эквайринга,Вайлдберриз Банк,-131.41666666666666,-26.28,Новосибирская область Новосибирск улица Бориса Богаткова 253/4,307468,0,,,,,0,Россия,False,0,0,0.0,0.0,0,0,0,7144831560130637023.0.0,1,False,,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435264,25718860,1.45,2024-12-28T21:00:00Z,2025-02-26T21:00:00Z,Табуреты,246912301,IKEA,ts_1,0,2040767094964,,0,0.0,0.0,0,0.0,Электросталь,Логистика,2025-03-05T20:01:32Z,2025-03-10T13:49:39Z,2025-03-10,28733001263,0.0,1,0,278.65,Монопалета,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,Астраханская область Астрахань улица Безжонова 92,137540,0,,,,К клиенту при продаже,0,Россия,False,0,0,0.0,0.0,0,0,0,4708763695638552074.0.0,1,False,0,
301438898,2025-03-10,2025-03-16,2025-03-17,RUB,,2906380435265,25718860,0.0,,,Табуреты,246912301,IKEA,ts_1,0,2040767094964,Продажа,1,2220.0,1731.0,0,16.5,Электросталь,Продажа,2025-03-05T20:01:32Z,2025-03-10T13:49:39Z,2025-03-10,28733001263,2220.0,0,0,0.0,Монопалета,0,0,0,0.1836,0.1375,-0.0461,0,0,-102.25,1829.81,0.0,23.89,1.08,Перевыставление эквайринга,Промсвязьбанк,-102.25,-20.45,Астраханская область Астрахань улица Безжонова 92,137540,0,,,,,0,Россия,False,0,0,0.0,0.0,0,0,0,4708763695638552074.0.0,1,False,,
